,raw_text,label
0,@JanaBanana5 Oh my word...so tell me are you a mother of four now? lol I'm so sorry. ,negative
1,Just watched the series finale of Scrubs. Why must all good shows end? ,negative
2,Just screwed up the fried noodles by adding raw garnishes to the seasoning! ,negative
3,@ladybug8320 5 weeks is a long time! ,negative
4,Synching my contacts from my old mobile to iPhone. Import does not work well ,negative
5,@thedistraction im seeing mewithoutyou that night in NYC otherwise i would go ,negative
6,@ksmith2009 Awww ,negative
7,@jennifer_wagner how can we earn some really quick money to go out there?!!!!?? we cannnn...... idkkkK!!!! ahhh Jen!!!! i wanna go. ,negative
8,@SirFamous AWW   HOW LONG WAS YA VAKA OUT HERE??,negative
9,"Keeping my friend and her children in my thoughts today, as they mourn the loss of their husband/father who suddenly died yesterday. ",negative
10,@tweetiepies aww ,negative
11,Waiting to board train... They are playing musical platforms at Norwich station ,negative
12,"oh yea, roomies just went to Paris and Switcherland.. the house is gonna be empty ",negative
13,RIP Kodachrome - Mama took you away ,negative
14,@Bruno108 hahaha unfortunely my weekends consist of work and sleep ,negative
15,Ok so everytime i read twitter i so want to be a superstar ,negative
16,Eating pancakes wacthing the rest of this game. I gotta go register for school tomorrow  I dont even have the energy. #summerschool,negative
17,@Apple thank you for sucking so much. I cannot believe you would sell something online that isn't made,negative
18,Just finished part 5 of my PEP has taken me ages due to not being able to copy and paste ,negative
19,"This does not bode well. After charging all night, my @Apple iPhone 4S has 25% battery after only 3hr off charger with no calls & light use",negative
20,Layered Tech = EPIC FAIL ,negative
21,I'm not getting all of my @ replies #twitter if it wasn't for my emails telling me that some1 replied to me I wouldn't even know it #nobueno,negative
22,@buutterr i heard the same ,negative
23,@Trucco905 yeah i have these extra strength things my mum takes for her leg! and no chemist will be open when i go... god! ,negative
24,on hold for another half hour. phone is ringing but no one is picking up.@apple you stink.,negative
25,RT @CBM: Lies @apple. the battery on this new iPhone4S is definitely not any better.,negative
26,BBL..Let the count down begin~~~~~~~~~~ 5hrs to go ,negative
27,@B0RNASTARtrell Me &amp;&amp; my ex had a drag out fight on the phone this morning. He's such a bitch. I fucking swear I hate that man. ,negative
28,@veropperez awwww my poor muffins i had to make those and i didnt make them for the cat HE TOOK THE WHOLE FREAKIN BAG and ran away  aw man,negative
29,Nope... didn't make it ,negative
30,@SKILLETfan01 pretty much just seeing them live on Fuse is just bringing tears to my eyes! Leroy was my sax icon ,negative
31,serÃ¡Ã¡Ã¡Ã¡Ã¡que eu vo assistir Transformers 2 sextaa? who knows; ,negative
32,Brothers sickk. And theres no sugar for my tea! ,negative
